question,u_id,facet,country,all_answers
"What animal is symbolic of American culture, particularly associated with its historical significance and contributions to western societies?",a6b53f36-7864-4876-a058-7e0be321388b,traditions,USA,['Horses']
What is the name of this superhero?,5473783d-ba57-45b2-8414-33eb26c36ccf,traditions,USA,['Superman.']
What historical event is Thanksgiving commonly associated with?,89df03ce-b19f-474d-8f36-e9b41be7d3d5,traditions,USA,"['Pilgrims' 'Discovering America supposedly' 'feast with Indians'
 'The pilgrims and indians sharing a meal' 'Pilgrims and indians meeting'
 'Which group helped the Pilgrims during the First Thanksgiving']"
Why would this scare some people?,7d6f190c-4df7-4306-a1e9-b87ed1e3087c,rituals,USA,"['ghostlike' 'racism' 'Looks like ghosts' 'it is about the Korean War'
 'Zombies']"
What hand would you normally wear a wedding ring in the US?,ff57c370-a704-49a2-8662-f040dca197df,rituals,USA,['Left.']
What military branch is reflected here?,87a16f79-2e21-4b11-93b2-4871169911e7,rituals,USA,['Navy.']
Who is this person?,1880497c-e945-4689-839e-03022a70d7a7,rituals,USA,"['George Washington' 'George Washington' 'George Washington'
 'George Washington' 'George Washington']"
What is represented here?,4436f0b0-f4fe-4383-911d-4640c75d9018,rituals,USA,['Different religions.']
What kind of weather would the man wear this in?,46718728-a72a-4651-a2dc-d9d39b32ab74,clothing,USA,['Winter.']
"What type of clothing is depicted in the image, known for being handcrafted in the USA with a focus on superior craftsmanship and sustainability?",87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,clothing,USA,['Handcrafted dresses']
Why are the clothes on hanging?,2b697bc6-809b-4d92-aa10-10c31472acaa,clothing,USA,['display' 'drying off' 'To decorate wall' 'line' 'Drying']
Why is there a star at Lome?,f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,clothing,USA,['That is a capitol city.']
What is usually done with these pieces of fabric?,b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,clothing,USA,['they are sewn onto other garments.']
What temperature are these drinks?,9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,drink,USA,['Cold.']
What are the bubbles at the top called?,7cd63749-44d8-4024-ac6c-727bde0ae91a,drink,USA,['The head.']
What is the tube made out of?,dca004c5-3d95-44e6-95ef-8116165e04a3,drink,USA,['money' 'dollar bill' 'Money' 'Money' 'banknote']
People that drink this have to be what age?,d527b146-00a1-41fb-8671-6114ee9cabb9,drink,USA,['21 or older.']
What classic American treat is often paired with a burger and fries to create a quintessential American meal,2fd3e1c4-4980-4f7d-8876-69cd79654a75,drink,USA,['milk shake' 'milkshake' 'Milk Shake' 'Milkshake' 'milkshake' 'Milkshake']
Which country does the above location belong?,41e6fcd3-a802-4639-a9f3-3943c6b1242a,rituals,India,['Nepal']
Where does the bride go after the type of marriage shown above?,6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,rituals,India,"[""Groom's house""]"
What Festival Do These People Celebrates?,b577985c-6eca-41d4-805c-13fdb8822df8,rituals,India,"['ganga-aarti' 'Ram Navami' 'Ganga aarathi' 'Ganga-Aarti' 'Diwali'
 'They People Celebrates Are Ganga Aarathi.']"
Which animal is worshipped for giving us the above substance?,fdc20e45-b3db-48bd-946b-8969194f3fde,rituals,India,['Cow']
Can you guess which religion most people in the image belong to?,9844e1be-1620-44ee-ac68-57ae9d58ab4f,rituals,India,['Hindu']
Which dress are these women wearing?,eced265e-c274-45b9-9e1d-16ab6fbad9cd,clothing,India,['Sari' 'Saree' 'Saree' 'Saree' 'Saree' 'Saree']
In which country this kind of dress is worn?,a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,clothing,India,['India' 'India' 'India' 'India' 'India']
What is the flower working made of?,0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,clothing,India,['Embroidery' 'Embroidery' 'Rose' 'Zari' 'Embroidery']
What is the fabric on the side called?,ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,clothing,India,['Dupatta']
What kind of Indian dress does lady wearing in the image?,520f8c8b-3426-4a8e-affd-07b0c26f954b,clothing,India,['Saree']
What is white thing seen on the mountain?,d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,traditions,India,['It is full of snow']
What location is shown above?,0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,traditions,India,['Manikaran']
To which country does the flag belong to?,be330458-bfe8-4b6d-ab4f-0e121faca59d,traditions,India,['India']
Which Hindu sect hails from the above region?,ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,traditions,India,['Kashmiri Pandits']
What is the name of Onan shown in the above picture?,3156bba1-7c6d-417e-8841-d6319dc7e3af,traditions,India,"['onan' 'Plumed basilisk' 'Chinese water dragon' 'Chinese Water Dragons'
 'The name of the person shown in the picture is Onam. It is a culturally significant harvest festival celebrated in the Indian state of Kerala.'
 'Chinese water dragon']"
What other spice is added usually to the above drink but not shown above?,dad09341-9891-4f9e-b292-1f834f9fedc4,drink,India,['Cardamom']
What beverage is made when milk is boiled with the above substance?,9e192054-6b30-44b3-841f-785853bfe7e4,drink,India,['Chai']
What is the spice shown above that is added to the beverage?,4048bef4-586f-466a-8f53-3a1332979fcd,drink,India,['Anise']
What type of drink is shown above,c62249de-cc8b-43b7-aa90-842dbd8d89e2,drink,India,['Darjeeling Tea']
In which city is the above building?,6ec6b59a-9126-4462-89ee-df55d996f4ab,drink,India,['Mysore']
In which country this type of sweets consumed?,5c7b7038-b58d-4a21-b867-b7a72612ff55,food,India,['India']
What is the animal in the image depicts?,39e397ed-fa8c-40ee-974d-b2f01e397e64,food,India,['Garuda']
What is the popular dish made from the above?,a82f3319-8037-44df-bcab-0d39d14590e6,food,India,['Baingan ka Bartha']
What kind of drawing is seen in the background image?,3bbeaac4-39d5-449f-b8e0-69a66bbb9400,food,India,['Flower' 'Mandala' 'Mandala' 'Rangoli' 'Mandala wall tapestry']
What root is shown above?,4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,food,India,['Ashwagandha']
What is the man preparing?,e43999fc-df28-41f1-982f-64a51d79acb7,rituals,Turkey,"['He is preparing a kese, which is used in Turkish bath for cleaning.']"
In which occasion does the woman put salt in the hot beverage depicted in the item?,c3a1ddb5-f12f-4806-bda6-4189d38228d7,rituals,Turkey,"[""Asking for the girl's hand in marriage\r\rAsk for blessing""]"
What is the given building inside the image?,a950d18e-1dbc-46c8-955e-4bbf4f41aadb,rituals,Turkey,['mosque' 'Mosque' 'Camii->mosque' 'Mosque']
"What is the name of event that mother-in-law, bride and other relatives do the activity depicted in the image?",2b049977-6bfc-4a19-b59a-c9e2beffab94,rituals,Turkey,['Bridal Bath']
What is given inside the image?,2329409d-2712-4aa5-96d1-2cd16298f150,rituals,Turkey,['Oud' 'Bağlama' 'Ud' 'Ney']
What is the served beverage in image?,a7465e78-a57b-4a6c-bbcf-9214feeafb74,drink,Turkey,"['Türk kahvesi->Turkish coffee' 'Turkish coffee' 'Lipto ln'
 'Turkish coffee']"
What is the beverage given inside the image?,fc76de15-b866-4251-af12-bd76901f7c3d,drink,Turkey,['Tea' 'Tea' 'Turkish tea' 'Çay->Tea']
What is the name of utensil depicted in the image?,cedc6039-0f3d-4995-bf1f-eb1cd6590cbf,drink,Turkey,['Cezve' 'cezve' 'Tea cup' 'Cezve']
How many parts does the preparation tool to brew the hot beverage depicted in the image have?,1a2b2bda-ede8-4e7c-99a6-7072401066e6,drink,Turkey,['2']
What is the beverage given inside the image?,fa819613-c07e-4e81-ae2a-6a5fee7b350b,drink,Turkey,"['Turkish Cafee' 'Turkish coffee' 'turkish coffee'
 'Türk kahvesi->Turkish coffee']"
Where do you wear the cloth depicted in image?,4efc5850-d150-471b-8188-4f35d3b63b48,clothing,Turkey,['Hamam->Turkish bath' 'hamam' 'Bathroom' 'Shower']
What is given inside the image?,a5ffd0e5-343e-484b-92dc-aa8f00b18e98,clothing,Turkey,['Peştemal' 'pestemal' 'Towel' 'Towel']
What is the woman wearing?,c67a3887-7cf3-4455-8122-e60eedd643a7,clothing,Turkey,['Bindallı' 'Bindalli' 'Gown' 'Bridal dress']
Where do you wear the type of clothings depicted in the image?,0c5aee4c-d9fe-462e-8df1-ef7320c618cb,clothing,Turkey,['Hamam->Turkish bath' 'bathroom' 'hamam' 'Bath']
What do you wear against the item depicted in Turkey?,2272ab97-94b6-4151-9ec6-763f05b0c22c,clothing,Turkey,['Nazar']
What is the prepared dish called?,2b514973-2195-4908-8bda-3f958deb8bdb,food,Turkey,['Barbunya' 'Borlotti Cranberry' 'Barbunya' 'Bean']
Which region of Turkey is the leading producer of the plant depicted in the image?,f7a3dcee-b9cb-4f4b-94b6-617336a4d320,food,Turkey,['Ordu' 'Bursa' 'black sea' 'mediterranean']
What is the most famous Turkish sweet with pistachio or hazelnut depicted in the image?,fd72fc17-d0df-47fd-9d0c-4e6803e873c0,food,Turkey,['Baklava' 'Baklava' 'Baklava' 'Baklava']
What other filling is used for the preparation of the items in the image?,e3ddb612-2a9b-4cda-a547-572583a1e202,food,Turkey,['walnuts' 'Ceviz->walnut' 'baklava' 'walnut']
Is this ice cream easy to melt?,c6f9ae05-ef81-4957-b6f0-7a177580e2d5,food,Turkey,['No']
What is the man's occupation?,443e4b25-3d4a-40e3-a270-e48c9d37f105,traditions,Turkey,['Horse groomer' 'groom (seyis in Turkish)' 'seyis' 'Seyis->horse breeder']
How many years will the item depicted in the image be remembered as said in Turkish proverb?,e2af3f45-8230-49e5-9fb2-19c8b42b9816,traditions,Turkey,['40 years' '40' '40' '40']
In which city of Turkey can you find the house depicted in the image?,9463f29a-4672-4021-923f-3827ddcfae45,traditions,Turkey,['Trabzon' 'Trabzon' 'Muğla' 'Antalya']
What are the given objects inside the image?,c5fa60a8-7191-498a-8cc9-db07ec48dd86,traditions,Turkey,"['' 'Ok, yay->arrow, bow' 'Pen' 'Arrow']"
What is the name of the region displayed in the supplied picture?,a48d89f9-3486-46e8-a68c-c47ad537226f,traditions,Turkey,"['Central Anatolia' 'Cappadocia' 'Kapadokya->Cappadocia'
 'Central Anatolia' 'Cappadocia']"
During Which Holiday is the item in image most commonly eaten?,468a0a50-3eba-40b2-92b0-5b172fb30c01,traditions,Ethiopia,"['Ethiopian Easter (Fasika)' 'Ester' 'New Year, Christmas, Easter']"
which Theatre building shown in the image is the oldest in Ethiopia?,f555701d-40c7-4400-9bdc-eda62ace2912,traditions,Ethiopia,['Hager fkr theatr' 'Hager Fikr theatre']
What is the purpose of the object she is holding in her hand as shown in the image?,6653f8dd-3fff-48a3-8e29-065917a610b0,traditions,Ethiopia,['Fetch water' 'Carry and store water' 'To carry and store water']
What is the name of the Ethiopian place where the depicted image originated?,8eafe537-95b2-4e1f-8416-8196d5fd59cb,traditions,Ethiopia,['Jimma' 'Keffa']
"what is the cultural saying, which a stranger says to get Ethiopians hospitality as shown in the picture?",7cde7484-09d6-4675-859f-c98293b98f27,traditions,Ethiopia,"['""Yemeshebet Mengedegna""']"
what is the drink that the lady in the picture is serving?,b42f7e81-16d7-4b6b-a305-d8e79c5ddf58,drink,Ethiopia,['Coffee' 'buna' 'Coffee']
What is the name of ethiopian city where the depicted image originated?,46f8812b-adca-4161-ae1f-9f6c5600599c,drink,Ethiopia,['Sidama' 'Kaffa' 'Keffa']
what king of cup is used for serving the drink in the image?,d97dd49b-2351-46fb-814b-b5f0a72d251e,drink,Ethiopia,['birilay' 'Birilee']
in which kind of places in Ethiopia does the artifact in the figure mostly hang?,c8b19f46-371b-46f5-89ca-93b99b2fd6a0,drink,Ethiopia,['Coffee house' 'Ethiopian coffe house' 'wall']
What is the name of the Kenyan city where the depicted image originated?,f71472c0-2cb4-475d-9b08-5787585f550e,drink,Ethiopia,['Nirobi' 'Nairobi' 'Nairobi']
which police wear the blue ranger uniform shown in the figure?,bff5977b-7901-4d1e-96a1-5c0d19848a0f,clothing,Ethiopia,['Ethiopian fedaral police' 'Ethiopian federal police']
What is the local name of this collection of cloths as shown in the image in Ethiopia?,5880280d-93fc-446b-8079-58300559adda,clothing,Ethiopia,['Bonda' 'Bonda' 'salbaj or bonda']
on what clothes do we see designs shown in the image?,9cddc74e-a74b-4b29-9493-f6bac0aa27ea,clothing,Ethiopia,['Amhara cultural female clothes' 'Amharan cultural Female clothes' 'gabi']
Which group is represented by the dressing style that the man is wearing?,0b04f451-42cf-462b-b983-307e13183f45,clothing,Ethiopia,['Orthodox priest' 'Ethiopian Priests']
What is the main common use does the item in the figure have?,01a1d08a-e2a5-4a81-afb5-9831cddd3e88,clothing,Ethiopia,['Making cotton' 'Medicine']
Which kind of crop is gathered in the sytem shown in the image?,3d4755c8-3116-45b7-a80f-10c886ec742d,food,Ethiopia,['Teff' 'Teff']
"in which city in Ethiopia does the plant's fruit shown in the figure, be prepared and eaten?",1b7870bb-8b83-46e9-bced-5f1f7c45ec19,food,Ethiopia,['Dire Dawa']
What is the main ingredient use to prepare the item shown in the figure?,9c96c4f7-b755-4960-948b-8c0ea7761880,food,Ethiopia,['Teff' 'Teff' 'Teff']
What is the side dish mostly served with 'misr wet' as shown in the figure?,dc3a53b7-bcd5-4354-93b6-f954b82269e1,food,Ethiopia,['Selata' 'Salad' 'Salad']
what is the ingredient used to turn raw meat to Quanta as shown in the image?,3d773278-fed5-46fd-976e-a018441b9190,food,Ethiopia,['Salt' 'Salt' 'salt']
During which Ethiopian holiday do children dress in the manner depicted in the image?,0ed35e82-2fa8-46d6-b4e0-629c66728ae8,rituals,Ethiopia,['Ester' 'Ethiopian Easter' 'enkutatash / New Year']
What does the item carried by the persons holding decorative umbrellas show in the figure represents?,22cd2fea-0e59-4662-8146-874abbac1fcf,rituals,Ethiopia,['Tabot' 'Tabot' 'Tabot']
In which city does the rock hewn church shown in figure found?,d54dbb9a-94a1-470b-a1d1-12f9f313bb77,rituals,Ethiopia,['Lalibela' 'Lalibela']
At what time are the ceremonies depicted in the image usually held?,535f44c0-e569-40b7-9b05-2ab1ef0f8368,rituals,Ethiopia,['during holidays and are a gesture of hospitality for foreigners visiting my country.\r\rduring holidays and are a gesture of hospitality for foreigners visiting my country.']
What is the purpose of the rosary he is holding in his hand as shown in the image?,f8c67c30-7009-4b45-9991-34eae86da207,rituals,Ethiopia,['To maditate and focus' 'Pray' 'Meditate']
Who was the founder of the empire shown in orange?,19289618-394a-4b0b-ad8f-ffe2157564aa,rituals,Iran,['' '' 'Alexander']
Is this picture taken in Ramadan?,98eed9b0-5603-4c58-b498-34df83a4d44e,rituals,Iran,['No' 'no' 'No']
What do we receive from our elders at the ceremony depicted in the image?,139ebae1-b6e8-4a4c-9368-f0bb40c93b7e,rituals,Iran,['Money' 'Eydi' 'eydi']
What poem do we read in the ceremony depicted in the image?,d4763361-b78a-4ad4-a747-43d7d7d74151,rituals,Iran,['Hafez' 'Hafez' 'Divan hafez']
